index,beer/ABV,beer/beerId,beer/brewerId,beer/name,beer/style,review/appearance,review/aroma,review/overall,review/palate,review/taste,review/text,review/timeStruct,review/timeUnix,user/ageInSeconds,user/birthdayRaw,user/birthdayUnix,user/gender,user/profileName;;;;;;;;;;;;
"40163,5.0,46634,14338,Chiostro,Herbed / Spiced Beer,4.0,4.0,4.0,4.0,4.0,""Pours a clouded gold with a thin white head. Nose is quite floral with a larger amount of spices added. Definitely a spice forward fragrance. Flavor has an odd burn that hits on the first sip. After it fades it seems like a dirty vanilla aftertaste. Perhaps this is the absinthe? Regardless of that, I get a quite spiced tone on the tongue. Almost feel a little heat from it. I think that my inexperienced palate on these spices is contributing to my ignorance of what precisely they are. Overall a nice drinker indeed."",""{'min': 38, 'hour': 3, 'mday': 16, 'sec': 10, 'year': 2008, 'wday': 1, 'mon': 12, 'isdst': 0, 'yday': 351}"",1229398690,,,,,RblWthACoz";;;;;;;;;;;;
"8135,11.0,3003,395,Bearded Pat's Barleywine,American Barleywine,4.0,3.5,3.5,3.5,3.0,""12oz bottle into 8oz snifter.		Deep ruby red hue with a one finger light tan head that settles to a thin rim along the glass.		Sharp piercing hops with some light hard candy in the background. 		The hops provide some bitterness, but they aren't as sharp as I would have expected. Mostly a light candy flavor like in the aroma. Full bodied with good carbonation. The finish is some lingering sweet flavor with a bit of bitterness.		A very sweet barleywine with a weird hard candy flavor that seemed to dominate. Not bad, but I would have liked a little more complexity."",""{'min': 38, 'hour': 23, 'mday': 8, 'sec': 58, 'year': 2008, 'wday': 4, 'mon': 8, 'isdst': 0, 'yday': 221}"",1218238738,,,,,BeerSox";;;;;;;;;;;;
"10529,4.7,961,365,Naughty Nellie's Ale,American Pale Ale (APA),3.5,4.0,3.5,3.5,3.5,""First enjoyed at the brewpub about 2 years ago, I finally managed to get a bottle.	Slightly hazy orange-amber topped with a two finger foamy white head.	Very nice fruity aroma, soft and floral, tea and toast.	Fruity, slightly grapefruity hop note, toast and biscuity malt balance. Hoppier and more floral when it warms up.	Light-medium bodied, liked it better on draft but still a solid beer."",""{'min': 7, 'hour': 18, 'mday': 26, 'sec': 2, 'year': 2004, 'wday': 4, 'mon': 11, 'isdst': 0, 'yday': 331}"",1101492422,,,,Male,mschofield";;;;;;;;;;;;
"44610,4.4,429,1,Pilsner Urquell,Czech Pilsener,3.0,3.0,2.5,3.0,3.0,""First thing I noticed after pouring from green bottle to glass was the skunky smell. Overpowering. Lacing was minimal and faded quickly. Bottle had exp date and was still within freshness date. 		Taste was like drinking a milwaukee's best with some skunk. Just couldn't get over the skunky smell to finish my second bottle. Almost $10 a sixer, I would have been better off getting Bud Light."",""{'min': 7, 'hour': 1, 'mday': 20, 'sec': 5, 'year': 2011, 'wday': 0, 'mon': 6, 'isdst': 0, 'yday': 171}"",1308532025,1209827047.0,""Aug 10, 1976"",208508400.0,Male,molegar76";;;;;;;;;;;;
"37062,4.4,4904,1417,Black Sheep Ale (Special),English Pale Ale,4.0,3.0,3.0,3.5,2.5,""A: pours an amber with a one finger head but only with a very strong pour, head recedes to a light layer of foam with some large bubbles and good lacing	S: sweet caramel and bread from the English malts comes through, some mild fruityness on the back end	T: not a lot of complexity with this for me. I didn't expect much considering the style but it's just bland and lacking more bready layers	M/D: more carbonated than I would have wanted. I would expect this to be much better on cask"",""{'min': 51, 'hour': 6, 'mday': 12, 'sec': 48, 'year': 2011, 'wday': 5, 'mon': 3, 'isdst': 0, 'yday': 71}"",1299912708,,,,,Brewbro000";;;;;;;;;;;;
"14095,10.0,21436,14,YouEnjoyMyStout,Russian Imperial Stout,4.0,4.0,4.0,4.0,4.5,""served in a snifter";" on-tap at CBC.		color is the typical imperial stout used motor oil black";" impenetrable. by the time the beer arrived at our table the had had receded into a collar around the glass.		noses offers ample amounts of roastiness, chocolate, molasses and dark fruits, also an atypical tartness to it. not picking up much in the way of bourbon.		flavor imparts more of the same: big notes of roasted malt with chocolate and molasses not far behind, also some dark fruit characters to it and a very distinct and unusual tartness, which adds almost a distinctive flair. more bourbon than i picked up in the aroma but still a subtle presence on that front. medium-full on the palate with average carbonation.		overall a tasty and interesting beer. i like the unique element that the tartness bring";" could use a bigger bourbon presence though. also priced very reasonably at $5.50 a glass."",""{'min': 16, 'hour': 1, 'mday': 20, 'sec': 9, 'year': 2011, 'wday': 1, 'mon': 12, 'isdst': 0, 'yday': 354}"",1324343769,,,,,perrymarcus";;;;;;;;;
"13759,12.6,10001,14,Benevolence,American Wild Ale,4.0,4.5,4.0,4.0,4.0,""my 100th review on-tap! mini snifter		 A nutty dark brown color, thin and tanned head with only small lacing all around. 		 the nose has a fruity, sour and wild yeast aroma up-front. solid, thick and sweet malt underneath, dark fruits, dates and raisins and very tart. 		 the flavor is a very nice wild-yeast complexity that has tangy and sweet dark fruits, wood-aged alcohol effect along side with a very solid malty balance. wonderful complexity for this wild ale, slightly peppery and herbal on the way down. sour-cherry flavor makes this one really refreshing. Oak and vanilla pop out of the malt in a subtle way and the very end bringa a port wine sweetness.		 this one has wonderful balance for a wild yeast ale."",""{'min': 1, 'hour': 18, 'mday': 8, 'sec': 12, 'year': 2009, 'wday': 0, 'mon': 6, 'isdst': 0, 'yday': 159}"",1244484072,,,,,GratefulBeerGuy";;;;;;;;;;;;
"3914,8.4,52211,14879,Frog's Hollow Double Pumpkin Ale,Pumpkin Ale,4.0,4.0,4.0,4.0,4.0,""One of the better pumpkin ales I've tried so far. Not as imperialized as it may suggest but very nicely balanced and quaffable.		Presentation: 22 oz brown capped bottle. Label pivoting around the image of a standing/hopping frog holding a jar of beer (amber-pumpkin on this version). Perfunctorily terribly designed label with assorted fonts and the standard awful array of blends and color effects with the added novelty of... A picture of the moon under the glow of the name? Side paragraphs offer a general description of the brew, and intent. Lacks any bottling or freshness date. Notes Alc. by Vol. (8.4%), IBUs (7.3), and OG (76). Served in a snifter. 		A - Medium amber to orange pumpkin color with a nice creamy head that fades quickly leaving a fair surface memory.		S - Well balanced nose with a characteristic pumpkin sense, sweet and riding on a nice gamut of spices. Good balance, although a bit less and it would be short, hitting the right note with some risk.		T - Follows nicely the smell with a good malt backbone woven with pumpkin and a rich balance of spices complementing the brew.		M - Medium to medium-light body, medium prickly carbonation, finely tuned.		D - Deceptively quaffable given the alcohol bill, which is rather well integrated. Nice pumpkin ale.		Notes: Sure, this could do with an additional hefty note and still be quite notable as a pumpkin ale, but in this incarnation it feels very well rounded, so why touch it?"",""{'min': 32, 'hour': 20, 'mday': 9, 'sec': 40, 'year': 2010, 'wday': 5, 'mon': 10, 'isdst': 0, 'yday': 282}"",1286656360,,,,,Daniellobo";;;;;;;;;;;;
"47953,9.0,34361,394,Stoudt's Barrel Aged Old Abominable,English Barleywine,4.5,4.0,4.5,4.5,4.5,""A snifter filled (several times over) from a 750ml bottle";" I pulled this from the dusty clutches of the cellar, a bottle saved for 3+ years from one of my earliest trades. Needed a strong SEPA brew to soften the shocking blow that comes with learning that one of my best friends from high school died today (he was killed by a car while riding his bike in his adopted hometown of Philly ~ a toast to Russ). 		The goofy 'Abominable' cartoon made me smile on an otherwise somber day...		A: Lovely and leathery, an alluring chestnut/garnet, barely translucent. No signs of yeasty bits nor other fatigue from the years in captivity. Starts with about a finger of fizzy but firm khaki cream. A slow droop, then a small break in the topping, then a crescent ring. Slick speckles of lace.		S: Sweet and nutty, toffee and candied fruit - er, fruitcake. A 'buttered rum' quality, but little notable woody/oaky aroma.		T: The requisite toffee, mellowed fruit form a dreamy, dessert-worthy concoction. A little butterscotch (or creme brulee?). Fruity apple pie, something a little brandy-like. Oak, though tame, still holds a fair vanilla bean and charred woodiness. Very well balanced.		M: Velvet, pure velvet...sweetly coating. Modest carbonation and trace amounts of lip-smacking stickiness. Medium thickness. Easy on the tongue, as they say...		D: Love the beer, hate the occasion for opening it. Definitely worth saving, as it's damn delicious and oh so drinkable. Wish I had another";" cherish it while you can. That goes for beer and life, both.		Thanks to zrrbrrt/jyoungsbcp, aka Josh for sending way back when..."",""{'min': 26, 'hour': 3, 'mday': 16, 'sec': 13, 'year': 2010, 'wday': 4, 'mon': 7, 'isdst': 0, 'yday': 197}"",1279250773,,,,Male,msubulldog25";;;;;;;;;;
"7047,6.2,32676,1386,One Hop Wonder IPA,American IPA,2.0,2.0,2.0,2.5,2.0,""Brewed with five hop additions, this alleged IPA has a slight cidery aroma, zero carbonation, and not a shred of head or lace. It is simple, clear amber.			Unfortunately, Harmon really dropped the ball on this fall seasonal. It is green tasting and oddly devoid of even the slightest hop aroma. The 68 IBUs of Glacier hops really dont shine, making this hard to reconcile as a single hop showcase beer. One Hop Wonder is not a completely disastrous ale, but the body is lifeless and the beer remains conceptually undeveloped. Nothing in the taste or aroma remotely resemble an IPA. It tastes like tired yeasts unable to pull their weight, and the finish is deathly. 			Not up to Harmon standards."",""{'min': 26, 'hour': 5, 'mday': 16, 'sec': 41, 'year': 2006, 'wday': 0, 'mon': 10, 'isdst': 0, 'yday': 289}"",1160976401,,,,,RedDiamond";;;;;;;;;;;;
"23198,8.5,7463,1199,Founders Dirty Bastard,Scotch Ale / Wee Heavy,4.5,4.5,4.5,4.5,4.5,""Poured from 12 oz. bottle into a Sam Adams perfect pint glass.		Appearance: Deep and dark ruby red with a tint of orange. Lots of rising bubbles and a nice three finger tan head with good retention and lots of sticky lacing. 		Smell: Big aroma of sweet roasted malts with lots of caramel and toffee. Some oats, molassas, butterscotch, and brown sugar. Also some hints of dark fruits with raisin and plum. Light hints of floral hops. 		Taste: Like the smell, sweet roasted malts with caramel and toffee mixed with a big dose of molassas, brown sugar, butterscotch, oats, and raisins. Finishes with a lightly bitter kick from some floral hops. Very malt driven and sweet while still being well balanced. 		Mouthfeel: Medium to full bodied with a moderate carbonation. Creamy and chewy. Not noticing any alcohol heat. 		Overall: This is a very fine ale that is packed with toasty malt and scotch flavor while still remaining very smooth."",""{'min': 20, 'hour': 5, 'mday': 30, 'sec': 34, 'year': 2011, 'wday': 1, 'mon': 8, 'isdst': 0, 'yday': 242}"",1314681634,,,,,MattyG85";;;;;;;;;;;;
"18518,10.5,21822,1199,Founders Imperial Stout,Russian Imperial Stout,4.5,4.0,4.0,4.0,4.0,""Bottle poured into a tulip.		A - Pours jet black with a dark brown, rich head about a finger. Leaves plenty of lacing throughout my drinking of it.		S - Dark Chocolate, Roasted Malts are bold. Hints of coffee, hops and sugary notes.		T - Dark Chocolate hits first with a roasted malts/oak undertone. You get a little bit of the sweet sugary/camamel taste as well. The beer finishes with the hoppy after-taste, alcohol is hidden pretty well.		M - Heavy and rich, good medium carbonation. The alcohol is hidden pretty well, hoppy finish. 		O - This was the first time I've had the FIS. It was a pretty nice surprise, very well done and complex flavors that melded together quite nicely for a regular run of the mill imperial stout from them. Makes me look forward to KBS!"",""{'min': 50, 'hour': 18, 'mday': 7, 'sec': 54, 'year': 2012, 'wday': 5, 'mon': 1, 'isdst': 0, 'yday': 7}"",1325962254,,,,,BeRanger";;;;;;;;;;;;
"32481,11.2,19960,1199,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,4.5,4.5,5.0,4.5,5.0,""Kentucky Breakfast Stout is yet another outstanding brew from Founders. Pouring almost pitch black with a light layer of dark brown foam, it's aroma is full of coffee, chocolate, with hints of vanilla and bourbon. The taste yields this array of flavor, with both the vanilla and bourbon having greater interplay with the dominating coffee and chocolate. Some roasted flavor is evident as well. The alcohol provides a bit of warmth, but in a very pleasant way. KBS is delicious, and very drinkable. Given the ABV, it's not likely something you'd session on, but it's a great way to start or end an evening.		Does it live up to the hype? Absolutely."",""{'min': 38, 'hour': 13, 'mday': 17, 'sec': 7, 'year': 2008, 'wday': 0, 'mon': 3, 'isdst': 0, 'yday': 77}"",1205761087,,,,,YonderWanderer";;;;;;;;;;;;
"6821,8.4,12155,6277,Bogemia,Euro Pale Lager,3.0,2.0,2.0,2.5,2.0,""A: 1 finger white head, a clear golden color		S: Sweet aroma, strong alcohol smell		T: very strong alcohol taste, I guess that should be expected with 8.4% alcohol		M: Light, malty creaminess, lightly carbonated, a little bit of a bitter finish,		D: I'm not a very big fan, I could only drink the one, and I won't buy any more"",""{'min': 26, 'hour': 2, 'mday': 21, 'sec': 6, 'year': 2006, 'wday': 1, 'mon': 3, 'isdst': 0, 'yday': 80}"",1142907966,,,,Male,kamiller";;;;;;;;;;;;
"47815,7.0,9906,394,Stoudt's Blonde Double MaiBock,Maibock / Helles Bock,4.5,3.0,4.0,4.0,4.0,""Pours out in a pretty golden stream, filling the glass. Results in a thin head that dissipates to a ring. Light lacing. Smells of sweet malt, a little oxidation, nothing outstanding, but ok. Tastes sweet, malty, barely noticeable bitterness. somewhat cloying. Good mouthfeel, not overcarbonated, very smooth. Overall a nice beer, but nothing worth writing home about."",""{'min': 45, 'hour': 22, 'mday': 8, 'sec': 54, 'year': 2006, 'wday': 5, 'mon': 4, 'isdst': 0, 'yday': 98}"",1144536354,,,,,Jeronimo";;;;;;;;;;;;
"20012,8.3,11757,1199,Founders Breakfast Stout,American Double / Imperial Stout,3.0,3.0,4.0,4.0,4.5,A- pitch black- barely any head. 	S- hint of coffee and vanilla. 	T- coffee and vanilla flavored. not too much and not too little. not overpowering bitter but is bitter. 	MF- heavy and thick mouth feel. light to medium carbonation.	D- would definitely drink again. is in my top 2 pick. very easy drinking for this style of beer.,""{'min': 11, 'hour': 1, 'mday': 3, 'sec': 47, 'year': 2010, 'wday': 0, 'mon': 5, 'isdst': 0, 'yday': 123}"",1272849107,,,,,AprilMarie";;;;;;;;;;;;
